HWCOND,MATH
ATIPS,0
ATIPS,1
ATIPS,1
ATIPS,2
ATIPS,1
ATIPS,4
ATIPS,3
ATIPS,2
ATIPS,4
ATIPS,1
ATIPS,3
ATIPS,0
ATIPS,2
ATIPS,3
ATIPS,1
ATIPS,4
ATIPS,2
ATIPS,0
ATIPS,1
ATIPS,1
ATIPS,3
ATIPS,0
TIPS,2
TIPS,3
TIPS,0
TIPS,1
TIPS,1
TIPS,3
TIPS,0
TIPS,1
TIPS,1
TIPS,1
TIPS,1
TIPS,0
TIPS,3
TIPS,2
TIPS,2
TIPS,1
TIPS,2
TIPS,1
TIPS,1
TIPS,1
TIPS,2
TIPS,1
TIPS,0
TIPS,2
TIPS,0
TIPS,1
TIPS,1
TIPS,0
ATIPS,1
ATIPS,1
ATIPS,0
ATIPS,2
ATIPS,1
ATIPS,0
ATIPS,2
ATIPS,2
ATIPS,2
ATIPS,2
ATIPS,2
ATIPS,0
ATIPS,0
ATIPS,0
ATIPS,0
ATIPS,4
ATIPS,3
ATIPS,0
ATIPS,0
ATIPS,3
ATIPS,1
ATIPS,2
ATIPS,0
ATIPS,1
ATIPS,2
ATIPS,0
ATIPS,2
ATIPS,0
ATIPS,1
ATIPS,1
TIPS,2
TIPS,3
TIPS,2
TIPS,1
TIPS,1
TIPS,0
TIPS,0
TIPS,0
TIPS,1
TIPS,2
TIPS,0
TIPS,2
TIPS,3
TIPS,4
TIPS,3
TIPS,1
TIPS,0
TIPS,1
TIPS,0
TIPS,4
ATIPS,2
ATIPS,0
ATIPS,1
ATIPS,4
ATIPS,2
ATIPS,1
ATIPS,1
ATIPS,1
ATIPS,1
ATIPS,2
ATIPS,3
ATIPS,2
ATIPS,2
ATIPS,1
ATIPS,0
ATIPS,2
ATIPS,1
ATIPS,1
ATIPS,1
ATIPS,1
ATIPS,2
ATIPS,1
TIPS,1
TIPS,2
TIPS,1
TIPS,0
TIPS,3
TIPS,2
TIPS,2
TIPS,1
TIPS,0
TIPS,2
TIPS,0
TIPS,0
TIPS,1
TIPS,2
TIPS,1
TIPS,2
TIPS,0
TIPS,1
TIPS,2
TIPS,1
TIPS,1
TIPS,0
TIPS,2
ATIPS,0
ATIPS,3
ATIPS,3
ATIPS,4
ATIPS,2
ATIPS,4
ATIPS,0
ATIPS,4
ATIPS,2
ATIPS,1
ATIPS,0
ATIPS,0
ATIPS,0
ATIPS,3
ATIPS,2
ATIPS,0
ATIPS,2
ATIPS,2
ATIPS,2
ATIPS,3
ATIPS,1
ATIPS,0
ATIPS,1
ATIPS,0
TIPS,4
TIPS,1
TIPS,4
TIPS,1
TIPS,3
TIPS,0
TIPS,2
TIPS,1
TIPS,2
TIPS,2
TIPS,1
TIPS,1
TIPS,0
TIPS,1
TIPS,0
TIPS,3
TIPS,1
TIPS,3
TIPS,2
TIPS,2
TIPS,2
TIPS,1
TIPS,1
TIPS,0
TIPS,0
TIPS,1
TIPS,2
TIPS,2
TIPS,0
TIPS,3
TIPS,4
TIPS,2
TIPS,4
TIPS,0
TIPS,4
TIPS,2
TIPS,4
TIPS,2
TIPS,4
TIPS,0
TIPS,2
TIPS,2
TIPS,2
TIPS,4
TIPS,4
TIPS,0
TIPS,1
TIPS,4
TIPS,2
TIPS,1
TIPS,4
TIPS,0
TIPS,3
TIPS,4
TIPS,4
TIPS,0
TIPS,0
